date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:10	2530/2530	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Feb%202019%2017:18:06%20GMT	https://tansianuniversity.edu.ng/upload/about-icon-3.png	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/about-icon-3.png	(from https://tansianuniversity.edu.ng/about.php)
13:51:14	3317/3317	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Feb%202019%2017:18:22%20GMT	https://tansianuniversity.edu.ng/upload/campus-logo.png	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/campus-logo.png	(from https://tansianuniversity.edu.ng/campus-tour.php)
13:51:54	493881/493881	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Aug%202021%2007:40:24%20GMT	https://tansianuniversity.edu.ng/upload/usp.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/usp.jpg	(from https://tansianuniversity.edu.ng/css/kingster-style-custom.css)
13:51:58	221541/221541	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Aug%202021%2008:04:20%20GMT	https://tansianuniversity.edu.ng/upload/page-title-apply.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/page-title-apply.jpg	(from https://tansianuniversity.edu.ng/admissions.php)
13:52:01	450476/450476	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Aug%202021%2017:52:49%20GMT	https://tansianuniversity.edu.ng/upload/staff.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/staff.jpg	(from https://tansianuniversity.edu.ng/campus-tour.php)
13:52:06	607954/607954	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Aug%202021%2005:57:48%20GMT	https://tansianuniversity.edu.ng/upload/bigger_view.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/bigger_view.jpg	(from https://tansianuniversity.edu.ng/admissions.php)
13:52:06	89634/89634	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Aug%202021%2018:18:38%20GMT	https://tansianuniversity.edu.ng/upload/chancellor.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/chancellor.jpg	(from https://tansianuniversity.edu.ng/chancellor.php)
13:52:14	212772/212772	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Aug%202021%2008:47:40%20GMT	https://tansianuniversity.edu.ng/upload/vc.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/vc.jpg	(from https://tansianuniversity.edu.ng/vice-chancellor.php)
13:52:18	123906/123906	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Aug%202021%2008:59:56%20GMT	https://tansianuniversity.edu.ng/upload/pro.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/pro.jpg	(from https://tansianuniversity.edu.ng/pro-chancellor.php)
13:52:19	625168/625168	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Aug%202021%2008:20:08%20GMT	https://tansianuniversity.edu.ng/upload/campus_tour.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/campus_tour.jpg	(from https://tansianuniversity.edu.ng/campus-tour.php)
13:52:19	41672/41672	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Aug%202021%2015:50:52%20GMT	https://tansianuniversity.edu.ng/upload/dvc.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/dvc.jpg	(from https://tansianuniversity.edu.ng/deputy-vice-chancellor.php)
13:52:21	36498/36498	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Aug%202021%2020:08:04%20GMT	https://tansianuniversity.edu.ng/upload/registrar.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/registrar.jpg	(from https://tansianuniversity.edu.ng/registrar.php)
13:52:23	15401/15401	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20Aug%202021%2021:19:24%20GMT	https://tansianuniversity.edu.ng/upload/bursar.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/bursar.jpg	(from https://tansianuniversity.edu.ng/bursar.php)
13:52:24	28315/28315	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20May%202018%2014:20:54%20GMT	https://tansianuniversity.edu.ng/upload/founder.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/founder.jpg	(from https://tansianuniversity.edu.ng/founder.php)
13:52:24	18389/18389	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Aug%202022%2012:52:25%20GMT	https://tansianuniversity.edu.ng/htdocs_error/style.css	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/htdocs_error/style.css	(from https://tansianuniversity.edu.ng/plugins/revslider/public/assets/css/openhand.html)
13:52:25	26099/26099	---M--	200	added ('OK')	application/javascript	date:Sun,%2010%20Feb%202019%2000:18:14%20GMT	https://tansianuniversity.edu.ng/plugins/revslider/public/assets/js/extensions/revolution.extension.navigation.min.js	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/plugins/revslider/public/assets/js/extensions/revolution.extension.navigation.min.js	(from https://tansianuniversity.edu.ng/)
13:52:25	798538/798538	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Aug%202021%2006:21:06%20GMT	https://tansianuniversity.edu.ng/upload/objective.jpg	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/upload/objective.jpg	(from https://tansianuniversity.edu.ng/css/kingster-style-custom.css)
13:52:26	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://tansianuniversity.edu.ng/plugins/revslider/public/assets/css/openhand.html)
13:52:26	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/www.google-analytics.com/analytics.js	(from https://tansianuniversity.edu.ng/plugins/revslider/public/assets/css/openhand.html)
13:52:26	18389/18389	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Aug%202022%2012:52:27%20GMT	https://tansianuniversity.edu.ng/htdocs_error/something-lost.png	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/htdocs_error/something-lost.png	(from https://tansianuniversity.edu.ng/plugins/revslider/public/assets/css/openhand.html)
13:52:27	0/-1	---M--	409	error ('')			https://tansianuniversity.edu.ng/contact.php	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/contact.html	(from https://tansianuniversity.edu.ng/)
13:52:27	0/-1	---M--	409	error ('')			https://tansianuniversity.edu.ng/contact.php	C:/Users/MARTINS/Desktop/WEB-DEV/My%20Web%20Sites/tansain/tansianuniversity.edu.ng/contact.html	(from https://tansianuniversity.edu.ng/)
